kpi_name,kpi_id,branch,unit,year,month,day,numerator,denominator,value
Cho_Nhap,4,LOG,TTKT3,2026,6,19,4570.0,116.0,39.39655172413793
Cho_Nhap,4,QNI,HUBKTM,2026,6,1,366.0,16.0,22.875
Cho_Nhap,4,CMU,HUBCMU,2026,6,2,202.0,19.0,10.631578947368421
Cho_Nhap,4,AGG,HUBKGG02,2026,6,17,4.0,3.0,1.3333333333333333
Cho_Nhap,4,BNH,HUBBGG,2026,6,6,748.0,31.0,24.129032258064516
Cho_Nhap,4,HYN,HUBHYN,2026,6,8,740.0,25.0,29.6
Cho_Nhap,4,AGG,HUBAGG,2026,6,1,290.0,24.0,12.083333333333334
Cho_Nhap,4,LCU,HUBLCU,2026,6,10,2.0,2.0,1.0
Cho_Nhap,4,KHA,HUBNTN,2026,6,19,53.0,16.0,3.3125
Cho_Nhap,4,LOG,TTKT2,2026,6,4,3206.0,93.0,34.473118279569896
Cho_Nhap,4,LCI,HUBYBN,2026,6,8,321.0,12.0,26.75
Cho_Nhap,4,HCM,HCM09,2026,6,9,57.0,2.0,28.5
Cho_Nhap,4,LDG,HUBLDG01,2026,5,31,461.0,2.0,230.5
Cho_Nhap,4,HNI,HN06,2026,6,12,2.0,1.0,2.0
Cho_Nhap,4,LOG,TTKT2,2026,6,2,2240.0,79.0,28.354430379746834
Cho_Nhap,4,CTO,HUBSTG,2026,6,17,59.0,16.0,3.6875
Cho_Nhap,4,LCI,HUBLCI02,2026,6,13,15.0,5.0,3.0
Cho_Nhap,4,LOG,LOGBN,2026,6,10,2858.0,65.0,43.96923076923077
Cho_Nhap,4,HCM,HUBTAN,2026,6,1,421.0,15.0,28.066666666666666
Cho_Nhap,4,PHO,HUBVPC,2026,6,8,669.0,18.0,37.166666666666664
Cho_Nhap,4,HNI,HN02,2026,6,7,4.0,1.0,4.0
Cho_Nhap,4,HYN,HUBHYN,2026,6,10,281.0,32.0,8.78125
Cho_Nhap,4,LOG,TTSGN,2026,6,18,359.0,20.0,17.95
Cho_Nhap,4,HCM,HCM01,2026,6,6,10.0,1.0,10.0
Cho_Nhap,4,QNI,HUBQNI,2026,6,5,30.0,14.0,2.142857142857143
Cho_Nhap,4,DLK,HUBPYN,2026,6,18,206.0,19.0,10.842105263157896
Cho_Nhap,4,NAN,HUBNAN,2026,6,4,620.0,39.0,15.897435897435898
Cho_Nhap,4,PHO,HUBVPC,2026,6,2,546.0,15.0,36.4
Cho_Nhap,4,PHO,HUBHBH,2026,6,13,248.0,10.0,24.8
Cho_Nhap,4,TNH,HUBTNH,2026,6,14,150.0,20.0,7.5
Cho_Nhap,4,DNI,HUBDNI,2026,6,3,167.0,62.0,2.693548387096774
Cho_Nhap,4,LOG,TTKT5,2026,6,11,5136.0,217.0,23.668202764976957
Cho_Nhap,4,QTI,HUBQTI,2026,6,18,68.0,14.0,4.857142857142857
Cho_Nhap,4,BNH,HUBBNH,2026,6,9,305.0,35.0,8.714285714285714
Cho_Nhap,4,GLI,HUBGLI,2026,6,2,1042.0,24.0,43.416666666666664
Cho_Nhap,4,HNI,BBSDPG,2026,6,10,23.0,3.0,7.666666666666667
Cho_Nhap,4,PHO,HUBHBH,2026,6,10,353.0,11.0,32.09090909090909
Cho_Nhap,4,HNI,HN08,2026,6,7,38.0,1.0,38.0
Cho_Nhap,4,HPG,HUBHDG,2026,6,3,111.0,25.0,4.44
Cho_Nhap,4,HCM,HUBTAN,2026,6,6,256.0,10.0,25.6
Cho_Nhap,4,GLI,HUBGLI,2026,6,17,633.0,24.0,26.375
Cho_Nhap,4,HNI,HNIDDA,2026,6,18,5.0,1.0,5.0
Cho_Nhap,4,DNG,HUBQNM,2026,6,5,136.0,27.0,5.037037037037037
Cho_Nhap,4,VLG,HUBTVH,2026,6,12,70.0,12.0,5.833333333333333
Cho_Nhap,4,DBN,HUBDBN,2026,6,4,14.0,4.0,3.5
Cho_Nhap,4,LOG,TTKT2,2026,6,11,2373.0,78.0,30.423076923076923
Cho_Nhap,4,QTI,HUBQTI,2026,6,17,55.0,14.0,3.9285714285714284
Cho_Nhap,4,VLG,HUBTVH,2026,6,17,82.0,12.0,6.833333333333333
