kpi_id,unit_id,month,year,target_value,
3,HUBHPG,7,2026,0.913308,
3,HUBHPG,8,2026,0.913308,
3,HUBHPG,9,2026,0.886446,
3,HUBHPG,10,2026,0.886446,
3,HUBHPG,11,2026,0.886446,
3,HUBHPG,12,2026,0.877492,
3,HUBHYN,1,2026,0.938252,
3,HUBHYN,2,2026,0.947826,
3,HUBHYN,3,2026,0.966974,
3,HUBHYN,4,2026,0.966974,
3,HUBHYN,5,2026,0.9574,
3,HUBHYN,6,2026,0.976548,
3,HUBHYN,7,2026,0.976548,
3,HUBHYN,8,2026,0.976548,
3,HUBHYN,9,2026,0.947826,
3,HUBHYN,10,2026,0.947826,
3,HUBHYN,11,2026,0.947826,
3,HUBHYN,12,2026,0.938252,
3,HUBNDH,1,2026,0.942074,
3,HUBNDH,2,2026,0.951687,
3,HUBNDH,3,2026,0.970913,
3,HUBNDH,4,2026,0.970913,
3,HUBNDH,5,2026,0.9613,
3,HUBNDH,6,2026,0.980526,
3,HUBNDH,7,2026,0.980526,
3,HUBNDH,8,2026,0.980526,
3,HUBNDH,9,2026,0.951687,
3,HUBNDH,10,2026,0.951687,
3,HUBNDH,11,2026,0.951687,
3,HUBNDH,12,2026,0.942074,
3,HUBQNH,1,2026,0.939232,
3,HUBQNH,2,2026,0.948816,
3,HUBQNH,3,2026,0.967984,
3,HUBQNH,4,2026,0.967984,
3,HUBQNH,5,2026,0.9584,
3,HUBQNH,6,2026,0.977568,
3,HUBQNH,7,2026,0.977568,
3,HUBQNH,8,2026,0.977568,
3,HUBQNH,9,2026,0.948816,
3,HUBQNH,10,2026,0.948816,
3,HUBQNH,11,2026,0.948816,
3,HUBQNH,12,2026,0.939232,
3,HUBTBH,1,2026,0.938448,
3,HUBTBH,2,2026,0.948024,
3,HUBTBH,3,2026,0.967176,
3,HUBTBH,4,2026,0.967176,
3,HUBTBH,5,2026,0.9576,
3,HUBTBH,6,2026,0.976752,
3,HUBTBH,7,2026,0.976752,
3,HUBTBH,8,2026,0.976752,
3,HUBTBH,9,2026,0.948024,
3,HUBTBH,10,2026,0.948024,
3,HUBTBH,11,2026,0.948024,
3,HUBTBH,12,2026,0.938448,
3,HUBHTH,1,2026,0.919142,
3,HUBHTH,2,2026,0.928521,
3,HUBHTH,3,2026,0.947279,
3,HUBHTH,4,2026,0.947279,
3,HUBHTH,5,2026,0.9379,
3,HUBHTH,6,2026,0.956658,
3,HUBHTH,7,2026,0.956658,
3,HUBHTH,8,2026,0.956658,
3,HUBHTH,9,2026,0.928521,
3,HUBHTH,10,2026,0.928521,
3,HUBHTH,11,2026,0.928521,
3,HUBHTH,12,2026,0.919142,
3,HUBNAN,1,2026,0.880432,
3,HUBNAN,2,2026,0.889416,
3,HUBNAN,3,2026,0.907384,
3,HUBNAN,4,2026,0.907384,
3,HUBNAN,5,2026,0.8984,
3,HUBNAN,6,2026,0.916368,
3,HUBNAN,7,2026,0.916368,
3,HUBNAN,8,2026,0.916368,
3,HUBNAN,9,2026,0.889416,
3,HUBNAN,10,2026,0.889416,
3,HUBNAN,11,2026,0.889416,
3,HUBNAN,12,2026,0.880432,
3,HUBNBH,1,2026,0.940506,
3,HUBNBH,2,2026,0.950103,
3,HUBNBH,3,2026,0.969297,
3,HUBNBH,4,2026,0.969297,
3,HUBNBH,5,2026,0.9597,
3,HUBNBH,6,2026,0.978894,
3,HUBNBH,7,2026,0.978894,
