year,month,day,unit,branch,previous_inbound_ton,previous_inbound_vol
2026,6,11,DSKV3,,31.186760999999997,1925.0
2026,6,11,DSKV4,,0.42389499999999997,170.0
2026,6,11,DSKV5,,38.581210999999996,3348.0
2026,6,11,DSLAN,,0.17953,44.0
2026,6,11,DSVPC,,9.347985999999999,781.0
2026,6,11,HBBDHN,,1.2538829999999999,401.0
2026,6,11,HBHCGV,,0.740965,1581.0
2026,6,11,HBHCTB,,1.3611259999999998,2051.0
2026,6,11,HBHCTD,,0.193024,337.0
2026,6,11,HCM01,,1.3843569999999998,2903.0
2026,6,11,HCM04,,0.08728899999999999,133.0
2026,6,11,HCM06,,0.04153,97.0
2026,6,11,HCM10,,0.028149999999999998,27.0
2026,6,11,HCM12,,0.00975,23.0
2026,6,11,HCMTTOG,,0.024999999999999998,1.0
2026,6,11,HN02,,0.6157239999999999,21.0
2026,6,11,HN03,,0.021265,28.0
2026,6,11,HN04,,0.279155,437.0
2026,6,11,HN07,,0.444113,436.0
2026,6,11,HN08,,2.236774,2990.0
2026,6,11,HN10,,0.99008,1261.0
2026,6,11,HNIDDA,,1.3954149999999998,2057.0
2026,6,11,HNIHKM,,1.1746029999999998,1598.0
2026,6,11,HUBAGG,AGG,12.453324,3326.0
2026,6,11,HUBBDG,HCM,12.570758999999999,5140.0
2026,6,11,HUBBGG,BNH,20.088133,8387.0
2026,6,11,HUBBHD,GLI,6.308748,2695.0
2026,6,11,HUBBKN,TNN,4.020522,1082.0
2026,6,11,HUBBLU,CMU,10.626177,3811.0
2026,6,11,HUBBNH,BNH,23.922528,11545.0
2026,6,11,HUBBPC,DNI,12.59143157142857,4516.0
2026,6,11,HUBBTE,VLG,6.913704999999999,3394.0
2026,6,11,HUBBTN,LDG,15.568639999999998,3697.0
2026,6,11,HUBCMU,CMU,13.412194999999999,4890.0
2026,6,11,HUBDBN,DBN,0.656799,68.0
2026,6,11,HUBDKG,LDG,7.264653,2227.0
2026,6,11,HUBDLK,DLK,7.686347,2650.0
2026,6,11,HUBDNG,DNG,5.744088,4173.0
2026,6,11,HUBDNI,DNI,15.964856999999999,6777.0
2026,6,11,HUBDTP,DTP,14.956703999999998,5206.0
2026,6,11,HUBGLI,GLI,0.764166,840.0
2026,6,11,HUBHBH,PHO,12.140581,4301.0
2026,6,11,HUBHCM,,17.998326,845.0
2026,6,11,HUBHDG,HPG,19.786896,9706.0
2026,6,11,HUBHGG,TQG,1.369062,124.0
2026,6,11,HUBHNI,HNI,7.689546,398.0
2026,6,11,HUBHNM,NBH,10.003769,4759.0
2026,6,11,HUBHPG,HPG,39.81177966666666,14510.0
2026,6,11,HUBHTH,HTH,8.579668,1527.0
2026,6,11,HUBHUE,HUE,10.767768,3848.0
2026,6,11,HUBHYN,HYN,18.858779,7811.0
2026,6,11,HUBKGG01,AGG,13.525609999999999,4379.0
2026,6,11,HUBKGG02,AGG,3.364986,2181.0
2026,6,11,HUBKHA,KHA,10.071281333333333,1990.0
2026,6,11,HUBKTM,QNI,0.925835,125.0
2026,6,11,HUBLAN,TNH,13.578555,5941.0
2026,6,11,HUBLBN,HNI,15.603053999999998,10422.0
2026,6,11,HUBLCI01,LCI,6.24351,1924.0
2026,6,11,HUBLCI02,LCI,1.795964,450.0
2026,6,11,HUBLDG01,LDG,16.811577,3087.0
2026,6,11,HUBLDG03,LDG,6.880101,1512.0
2026,6,11,HUBLSN,LSN,7.453929,2440.0
2026,6,11,HUBNAN,NAN,28.249429,7962.0
2026,6,11,HUBNBH,NBH,12.153357,5721.0
2026,6,11,HUBNDH,NBH,15.050201,6483.0
2026,6,11,HUBNTN,KHA,0.047334,2.0
2026,6,11,HUBPHO,PHO,15.949250999999999,7372.0
2026,6,11,HUBPYN,DLK,3.554686,1386.0
2026,6,11,HUBQBH,QTI,6.130974999999999,1470.0
2026,6,11,HUBQNH,QNH,23.830077,8044.0
2026,6,11,HUBQNI,QNI,9.2720606,3248.0
2026,6,11,HUBQNM,DNG,11.029899,5268.0
2026,6,11,HUBQTI,QTI,3.4155689999999996,1288.0
2026,6,11,HUBSLA,SLA,0.001,1.0
2026,6,11,HUBSTG,CTO,12.963878999999999,4628.0
2026,6,11,HUBTAN,HCM,1.263506,138.0
2026,6,11,HUBTBH,HYN,17.328453,6641.0
2026,6,11,HUBTGG,DTP,10.432096,2411.0
2026,6,11,HUBTHA,THA,24.335252,9152.0
2026,6,11,HUBTNH,TNH,9.158291,3264.0
2026,6,11,HUBTNN,TNN,13.800848,6325.0
2026,6,11,HUBTQG,TQG,7.11897,3217.0
2026,6,11,HUBTTI,HNI,23.639056,19537.0
2026,6,11,HUBTTO,,19.986302,14501.0
2026,6,11,HUBTVH,VLG,9.034687,3960.0
